,city_name,city_lon,city_lat,state,region,city_area,park_area,golf_area,park_num,golf_num,private_golf_area,public_golf_area,private_golf_num,public_golf_num,park_fraction,golf_fraction,private_golf_fraction,public_golf_fraction,greenspace_area,Population,golf_per_capita,golf_vs_greenspace
14,"Hartford, CT",-72.69883,41.740122,9,1,1336829605,67778941.0856338,14276840.994986894,293,29,7030651.39522623,6565104.516456019,10,15,0.0507012567885447,0.0106796265893489,0.0052591978580742,0.0049109508735453,82055782.08062069,768106,18.587071309151202,0.17398945732988985
15,"Houston, TX",-95.3935305,29.7843079,48,3,4305968808,82213516.54319297,49169052.33998791,1104,79,17552274.453186143,21585753.236635342,22,26,0.0190929196677991,0.011418812939062,0.0040762660473935,0.005012984115568,131382568.88318089,4561428,10.779311290233654,0.3742433471802997
16,"Indianapolis, IN",-86.1455205,39.8112618,18,2,1827890650,38108098.3531975,26132006.59681149,326,56,10174230.35480822,12239443.508034524,15,26,0.0208481280612696,0.0142962636177451,0.005566104490336,0.0066959385716177,64240104.95000899,1171068,22.314679076545076,0.4067864866837804
17,"Jacksonville, FL",-81.6359963,30.2480477,12,3,1375170078,38285764.62215139,17780844.215471968,266,45,9135781.506286744,3420677.9905637894,12,7,0.0278407487442083,0.0129299237235672,0.0066433829912686,0.0024874581299345,56066608.83762336,885012,20.091076974630816,0.3171378577036423
18,"Kansas City, MO--KS",-94.5948974,39.0397922,29,2,1755849917,52500650.99662567,20238386.83093584,609,37,7403891.602190648,9428529.52727138,13,13,0.0299004205816901,0.0115262623729906,0.0042166995769437,0.0053697810023425,72739037.82756151,1311859,15.42725767855832,0.2782328091679448
19,"Las Vegas--Henderson, NV",-115.1672179,36.1348929,32,4,1079990806,19685150.57303049,32425994.44303788,336,46,9032382.876017025,10376050.292429987,13,18,0.018227146438347,0.0300243245247014,0.0083633886750115,0.0096075357630683,52111145.01606837,1938135,16.73051384090266,0.622246823266681
20,"Los Angeles--Long Beach--Anaheim, CA",-118.1043319,33.9826675,6,4,4503957807,177155115.38210005,57777773.91618565,1834,131,23433571.317223243,32407438.642177,40,73,0.0393332093623895,0.0128282227303257,0.0052028842900799,0.0071953246524223,234932889.2982857,12226377,4.725665985613371,0.24593310067722074
21,"Louisville/Jefferson County, KY--IN",-85.6745861,38.231308,21,3,1235654157,22926589.140377656,16086472.27765453,141,36,8161435.578150571,6449263.453817465,13,12,0.0185542119617355,0.0130185879167924,0.0066049513384598,0.0052193110971077,39013061.418032184,846006,19.01460778960732,0.4123355536056245
22,"Memphis, TN--MS--AR",-89.9178569,35.0950711,47,3,1287904404,22333876.669159018,15924577.879491532,183,31,7165015.871790402,5638864.277990469,8,10,0.0173412534344893,0.0123647204171619,0.0055633134334638,0.0043783251773013,38258454.54865055,853587,18.656068894549158,0.4162368309791861
23,"Miami, FL",-80.2314282,26.1756162,12,3,3177138995,95563702.89465071,120377968.23201726,948,228,47403876.52274525,35588911.64980053,63,58,0.030078540172477,0.0378887950516049,0.0149203030139212,0.0112015595495848,215941671.12666798,5640348,21.342294523674294,0.5574559444869973
